name,listeners
Ellie Goulding,2231
The Local train,2206
bôa,2195
benny blanco,2192
Kailash Kher,2170
Jasleen Royal,2169
King,2164
Sachet Tandon,2155
Billy Joel,2140
Rosé,2138
Sia,2130
Alka Yagnik,2125
Mazzy Star,2123
TOMORROW X TOGETHER,2122
Red Hot Chili Peppers,2122
Alan Walker,2118
Dave,2082
Justin Timberlake,2078
Pitbull,2077
Lil Nas X,2053
Strawberry Guy,2046
Sean Paul,2045
Vishal Dadlani,2044
Ty Dolla $ign,2042
Glass Animals,2018
The Stranglers,2017
BLACKPINK,2016
Empire of the Sun,2012
Jind Universe,2003
Kid Cudi,1999
Ricky Montgomery,1999
Jagjit Singh,1997
Lisa,1997
Eyedress,1991
Major Lazer,1976
Megan Thee Stallion,1975
Lithe,1943
Darshan Raval,1935
Young Thug,1929
Central Cee,1926
ILLIT,1910
Faheem Abdullah,1895
Marshmello,1894
Gajendra Verma,1886
Kr$na,1881
Sunidhi Chauhan,1855
Ajay-Atul,1852
Stray Kids,1846
New West,1839
Navjot Ahuja,1838
Chezile,1837
Lil Baby,1832
Shakira,1831
Javed Ali,1829
Alec Benjamin,1825
Palak Muchhal,1823
The Cranberries,1797
Suki Waterhouse,1797
Rashid Ali,1785
Ken Carson,1782
Frank Sinatra,1769
Neeti Mohan,1763
Shaan,1763
Wallows,1762
Alex Warren,1761
Mitraz,1759
Slowdive,1755
Abhijeet,1746
The Cure,1735
Raftaar,1734
Hariharan,1733
Avicii,1733
YashRaj,1730
CORTIS,1728
French Montana,1726
Khalid,1722
Osho Jain,1709
Tears for Fears,1708
The Ronettes,1703
Sachet-Parampara,1701
Jeet Gannguli,1698
Ayushmann Khurrana,1697
Doechii,1696
Kate Bush,1696
VACATIONS,1693
Sanjay Leela Bhansali,1693
David Bowie,1678
Yebba,1675
Sid Sriram,1672
Shilpa Rao,1660
Clean Bandit,1657
Jatin-Lalit,1654
Jack Harlow,1650
Meet Bros Anjjan,1646
