artist,track,listeners,playcount
Lana Del Rey,Off to the Races,1207080,18022410
Lana Del Rey,Pretty When You Cry,1176208,18771063
Lana Del Rey,Ride,1170038,18307803
Lana Del Rey,Norman fucking Rockwell,1128867,20544680
Lana Del Rey,Let the Light In (feat. Father John Misty),1126958,22451569
Arctic Monkeys,505,2918837,55317616
Arctic Monkeys,Do I Wanna Know?,2802640,43352837
Arctic Monkeys,Why'd You Only Call Me When You're High?,2598327,39965763
Arctic Monkeys,I Wanna Be Yours,2511849,40623946
Arctic Monkeys,Fluorescent Adolescent,2463660,33122516
Arctic Monkeys,R U Mine?,2164956,31305082
Arctic Monkeys,I Bet You Look Good on the Dancefloor,2084314,23248521
Arctic Monkeys,Mardy Bum,1887582,20119386
Arctic Monkeys,When the Sun Goes Down,1793727,19787352
Arctic Monkeys,Snap Out of It,1603584,19730888
Arctic Monkeys,No. 1 Party Anthem,1567140,23082925
Arctic Monkeys,Teddy Picker,1553515,17188911
Arctic Monkeys,Arabella,1544023,18208544
Arctic Monkeys,Brianstorm,1466669,16618137
Arctic Monkeys,Fake Tales of San Francisco,1426485,12301651
Arctic Monkeys,Dancing Shoes,1390124,11775306
Arctic Monkeys,Knee Socks,1327239,14812012
Arctic Monkeys,From the Ritz to the Rubble,1295195,12289607
Arctic Monkeys,A Certain Romance,1278961,11756467
Arctic Monkeys,The View from the Afternoon,1262854,11684948
Bad Bunny,DtMF,933124,11608688
Bad Bunny,NUEVAYoL,745259,8889901
Bad Bunny,Tití Me Preguntó,740168,9924025
Bad Bunny,BAILE INoLVIDABLE,680179,9238094
Bad Bunny,Me Porto Bonito,662949,9306514
Bad Bunny,VOY A LLeVARTE PA PR,579961,7338637
Bad Bunny,EoO,562831,7140177
Bad Bunny,Moscow Mule,555697,8515433
Bad Bunny,DÁKITI,550995,7435895
Bad Bunny,Ojitos Lindos,480700,7248641
Bad Bunny,Otro Atardecer,479066,6262690
Bad Bunny,Callaita,451947,5362580
Bad Bunny,VeLDÁ,446122,5431482
Bad Bunny,Efecto,444238,6412354
Bad Bunny,MONACO,428023,4637585
Bad Bunny,WELTiTA,416314,3922358
Bad Bunny,Neverita,415095,5804739
Bad Bunny,Yonaguni,407536,5442943
Bad Bunny,EL CLúB,398846,3956173
Bad Bunny,PERFuMITO NUEVO,392584,3608524
